text	start	duration	sequence_id	sentence
Life	0.151	0.221	0	 Life is good and I have a happy family and I'll retire soon.
is	0.473	0.08000000000000007	0	 Life is good and I have a happy family and I'll retire soon.
good	0.613	0.241	0	 Life is good and I have a happy family and I'll retire soon.
and	0.914	0.10099999999999987	0	 Life is good and I have a happy family and I'll retire soon.
I	1.055	0.040000000000000036	0	 Life is good and I have a happy family and I'll retire soon.
have	1.155	0.18100000000000005	0	 Life is good and I have a happy family and I'll retire soon.
a	1.376	0.040000000000000036	0	 Life is good and I have a happy family and I'll retire soon.
happy	1.476	0.3620000000000001	0	 Life is good and I have a happy family and I'll retire soon.
family	1.898	0.46199999999999997	0	 Life is good and I have a happy family and I'll retire soon.
and	2.46	0.08000000000000007	0	 Life is good and I have a happy family and I'll retire soon.
I'll	2.6	0.16100000000000003	0	 Life is good and I have a happy family and I'll retire soon.
retire	2.801	0.46199999999999974	0	 Life is good and I have a happy family and I'll retire soon.
soon.	3.363	0.2410000000000001	0	 Life is good and I have a happy family and I'll retire soon.
