text	start	duration	sequence_id	sentence
A	0.152	0.01999999999999999	0	 A journey of 1,000 miles begins with a single step.
journey	0.252	0.382	0	 A journey of 1,000 miles begins with a single step.
of	0.675	0.07999999999999996	0	 A journey of 1,000 miles begins with a single step.
1,000	0.775	0.5630000000000001	0	 A journey of 1,000 miles begins with a single step.
miles	1.419	0.3819999999999999	0	 A journey of 1,000 miles begins with a single step.
begins	1.921	0.3819999999999999	0	 A journey of 1,000 miles begins with a single step.
with	2.344	0.16100000000000003	0	 A journey of 1,000 miles begins with a single step.
a	2.565	0.020000000000000018	0	 A journey of 1,000 miles begins with a single step.
single	2.665	0.32200000000000006	0	 A journey of 1,000 miles begins with a single step.
step.	3.048	0.34099999999999975	0	 A journey of 1,000 miles begins with a single step.
