text	start	duration	sequence_id	sentence
Hope	0.131	0.241	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
in	0.432	0.08100000000000002	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
reality	0.573	0.6020000000000001	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
is	1.255	0.08000000000000007	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
the	1.396	0.10000000000000009	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
worst	1.536	0.34099999999999997	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
of	1.917	0.06099999999999994	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
all	2.078	0.16000000000000014	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
evils	2.359	0.3410000000000002	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
because	2.84	0.32200000000000006	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
it	3.222	0.06000000000000005	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
prolongs	3.342	0.5019999999999998	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
the	3.904	0.09999999999999964	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
torments	4.065	0.4609999999999994	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
of	4.586	0.08099999999999952	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
man.	4.747	0.24100000000000055	0	 Hope in reality is the worst of all evils because it prolongs the torments of man.
