text	start	duration	sequence_id	sentence
hatred,	0.151	0.521	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
hatred	0.932	0.42000000000000004	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
sings	1.432	0.28100000000000014	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
a	1.793	0.040000000000000036	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
song	1.893	0.28	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
of	2.213	0.08000000000000007	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
sweet	2.393	0.26000000000000023	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
nothings,	2.734	0.5	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
calling	3.474	0.36099999999999977	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
pure	3.935	0.26000000000000023	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
death	4.255	0.28000000000000025	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
to	4.615	0.09999999999999964	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
this	4.755	0.18100000000000005	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
hated	4.996	0.3199999999999994	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
land.	5.396	0.3200000000000003	0	 hatred, hatred sings a song of sweet nothings, calling pure death to this hated land.
